,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
76,RT @DiazCanelB: Cuba registered an infant mortality rate of 4.9 in a year marked by COVID-19. In #Cuba the right to be born and live is gua…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",tubalpaez,142,TRUE,FALSE,NA,NA
77,"RT @RCPCHtweets: Our statement on reports about COVID admissions and children. 

Thanks to @CheungRonny @leehudson111 @lizWWyld and @Damian…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BobPeace,1756,TRUE,FALSE,NA,NA
78,@ACTBrigitte Covid will not run U life. It will take U!!,FALSE,0,ACTBrigitte,02/01/2021 22:22,FALSE,1.35E+18,1.35E+18,7.23E+17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RoseAmanda17,0,FALSE,FALSE,NA,NA
79,RT @chrischirp: So all the bad covid things me &amp; others were shouting about in the 2 weeks before Xmas are happening &amp; continuing to worsen…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sour_and_Grumpy,2424,TRUE,FALSE,NA,NA
80,RT @chrischirp: So all the bad covid things me &amp; others were shouting about in the 2 weeks before Xmas are happening &amp; continuing to worsen…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",webber1215,2424,TRUE,FALSE,NA,NA
81,RT @javiernegre10: Covid free? https://t.co/ykWstryWlB,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Guzmn31822254,71,TRUE,FALSE,NA,NA
82,"RT @ActionTime: Where's the #Outrage?In Brazen Violation of Health Directive,#Conservative MP Who Travelled TWICE to California Should GO!#…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>",covid19_alerts,3,TRUE,FALSE,NA,NA
83,I’m in charge of my high schools class reunion &amp; we’re coming up on the 4 years <U+0001F974><U+0001F480> I’m just gonna blame COVID,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",janet_sammantha,0,FALSE,FALSE,NA,NA
84,"RT @ABC: Legendary talk show host Larry King, 87, has been hospitalized in Los Angeles for COVID-19, a source says https://t.co/xgxvsOtvJW",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wenckeaarrestad,122,TRUE,FALSE,NA,NA
85,@ZeitgeistFilm @Miley_fluff @StayHome_2020 @IAmBerit73 @Zigmanfreud @Cohiba42794785 @tajjackson3 Or that COVID is fake lol,FALSE,0,ZeitgeistFilm,02/01/2021 22:22,FALSE,1.35E+18,1.35E+18,493451679,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ncanarchist,0,FALSE,FALSE,NA,NA
86,"RT @MaxCRoser: No we have not been able to find COVID vaccination data for Spain.

If someone is aware where the Spanish government is publ…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rubfersan,251,TRUE,FALSE,NA,NA
87,RT @javiernegre10: Covid free? https://t.co/ykWstryWlB,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",m6278467,71,TRUE,FALSE,NA,NA
88,RT @JuliaHB1: How is this tweet still up? Numerous experts have now debunked the totally false claims this nurse made about covid wards ful…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elliedionne,253,TRUE,FALSE,NA,NA
89,RT @FAOMalawi: @FAO in Salima district with @EUinMalawi to appreciate integration of #Covid_19 prevention efforts in ongoing nutrition sens…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",eafieldschools,4,TRUE,FALSE,NA,NA
90,RT @bIondiewasabi: LA has stopped transporting heart attack and stroke victims to hospitals because there are no beds due to covid overload…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hellsyn_,11196,TRUE,FALSE,NA,NA
91,"RT @MaajidNawaz: Covid is real. And so is political spin. 

Do not give in to fear. https://t.co/Loj206UHF7",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ccochrane64,303,TRUE,FALSE,NA,NA
92,"RT @hkfp: On this day, a year ago, Wuhan doctor Li Wenliang tried to raise the alarm about a new coronavirus. Days later the local Public S…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Snowvine,4830,TRUE,FALSE,NA,NA
93,Boy with deadly Covid linked illness covered in blisters in intensive care https://t.co/632VU56XB7,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",EstherMaile,0,FALSE,FALSE,NA,NA
94,RT @Crommunist: The Caribbean nation of Barbados is currently facing a COVID crisis after squashing community spread. A wealthy British tou…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",j0j0_says,251,TRUE,FALSE,NA,NA
95,"RT @GeorgeAylett: In an effort to help with the mass vaccination against COVID, St John’s Ambulance are looking for ‘volunteer vaccinators’…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",GeorgeAylett,10,TRUE,FALSE,NA,NA
96,"RT @mbklee_: Worked the late A&amp;E SHO shift on NYE and came out to this. Hundreds of maskless, drunk people in huge groups shouting ""Covid i…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bearMedicine,16729,TRUE,FALSE,NA,NA
97,"RT @LBC: Professor Chris Whitty has warned Covid-19 vaccine shortages are likely to be a ""reality"" in the first part of 2021
https://t.co/L…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Brown666W,67,TRUE,FALSE,NA,NA
98,"RT @keithboykin: Four Republican elected officials (1. Dick Hinch, 2. Luke Letlow, 3. Ben Chafin and 4. Mike Reese) have died in the past f…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",b_rickenbaker,13,TRUE,FALSE,NA,NA
99,RT @DrEricDing: NEW—Talk show legend Larry King is fighting COVID-19 in a Los Angeles hospital. The 87-year-old was reportedly diagnosed wi…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",mentarohchan,327,TRUE,FALSE,NA,NA
100,"RT @Vic_Rollison: How unlucky does Victoria feel right now? Less than a week after Avalon cluster discovered, an undetected case becomes a…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DocAntB,54,TRUE,FALSE,NA,NA
101,RT @bIondiewasabi: LA has stopped transporting heart attack and stroke victims to hospitals because there are no beds due to covid overload…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LillySaurbeck,11196,TRUE,FALSE,NA,NA
102,RT @teenash16: My dad and I tested positive for Covid-19. We are both experiencing heavy symptoms and there is no room for admissions in an…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sholsss,5522,TRUE,FALSE,NA,NA
103,RT @chrischirp: So all the bad covid things me &amp; others were shouting about in the 2 weeks before Xmas are happening &amp; continuing to worsen…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FurfieThomson,2424,TRUE,FALSE,NA,NA
104,RT @SorayaMcDonald: LA hospitals are putting COVID patients in gift shops and conference rooms because they've run out of space and these p…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",peacelovemgkx3,713,TRUE,FALSE,NA,NA
105,RT @jakepau41958297: COVID-19 is fake they make us wear mask's and don't let us in stores they government is taking our rights away if we d…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",jakepau41958297,1,TRUE,FALSE,NA,NA
106,@BBWThighTickler @Ntylions @KDKA Aneurysms may happen to some people after they have recovered from COVID.,FALSE,0,BBWThighTickler,02/01/2021 22:22,FALSE,1.35E+18,1.35E+18,1.23E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aj4_life,0,FALSE,FALSE,NA,NA
107,RT @bIondiewasabi: LA has stopped transporting heart attack and stroke victims to hospitals because there are no beds due to covid overload…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kilipl_Astrape,11196,TRUE,FALSE,NA,NA
108,NY Governor Cuomo Update on COVID-19: Statewide positivity rate: 7.45%.,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",suekroll,0,FALSE,FALSE,NA,NA
109,"RT @JudgeClayJ: NEW: Dallas County Reports 2,842 New Positive 2019 Novel Coronavirus (COVID-19) Cases and 23 Deaths
Including 530 Probable…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",auntlellie,43,TRUE,FALSE,NA,NA
110,RT @chrischirp: So all the bad covid things me &amp; others were shouting about in the 2 weeks before Xmas are happening &amp; continuing to worsen…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RoxanneSicklen,2424,TRUE,FALSE,NA,NA
111,"@sltrib @SpencerJCox quickly approaching 1300 dead ... now a botched vaccine rollout...

@SpencerJCox is in charge… https://t.co/iHTnG5RG5X",FALSE,0,sltrib,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,15369276,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",EricksonRevell,0,FALSE,FALSE,NA,NA
112,RT @ImolaOggi: Soap opera Covid made in #Pd,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ilmagoditwit,8,TRUE,FALSE,NA,NA
113,"RT @Reuters: France's new COVID-19 cases up by 3,466 over 24 hours https://t.co/IDCpBMgZOF https://t.co/VvDXg06Urv",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",EdwinCardonaMty,23,TRUE,FALSE,NA,NA
114,"RT @DrEricDing: 4) Someone tracked every COVID death among state and federal elected leaders... every instance has been GOP, according to @…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bronxfanatic,297,TRUE,FALSE,NA,NA
115,RT @thedailybeast: California-based TV doctor Drew Pinsky tested positive for COVID-19 five days ago and is receiving monoclonal antibody i…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JSeramba,130,TRUE,FALSE,NA,NA
116,RT @cyclingkev: We have been talking to NAHT and ASCL about this action - and we are very supportive of it. https://t.co/7YRDko2piX,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LauraBelger,252,TRUE,FALSE,NA,NA
117,"RT @Cornish_Damo: Wishing you a swift recovery Jo x

Jo Stevens: Labour's shadow culture secretary being treated in hospital for COVID-19 h…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BlauesStrange,5,TRUE,FALSE,NA,NA
118,@myboringhandle @CouttsKate @cleanthes @Hanasoph @matthaig1 That is due to people like you and our Gov resisting lo… https://t.co/qDBWEGYiFP,FALSE,0,myboringhandle,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,100004865,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rachc50,0,FALSE,FALSE,NA,NA
119,RT @guardian: People started breaking Covid rules when they saw those with privilege ignore them | Daisy Fancourt https://t.co/cmK96ejqtL,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",amy_lightstone,611,TRUE,FALSE,NA,NA
120,"RT @ddiamond: Bloomberg says 4.3 million Covid-19 vax shots have been given so far, but two-thirds of distributed shots still going unused.",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",surfspup,10,TRUE,FALSE,NA,NA
121,"RT @vermontgmg: According to @ballotpedia, Republican Congressman-Elect Letlow is the first congressional member or member-elect to die fro…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",factcheckyou1,110,TRUE,FALSE,NA,NA
122,"@erich_daniken Joined in Dec2020 and managed to accumulate a good number of people with no understanding of risk, b… https://t.co/68TKkrq0sl",FALSE,0,erich_daniken,02/01/2021 22:22,TRUE,1.34E+18,1.35E+18,1.34E+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MarkJohnsonTw,0,FALSE,FALSE,NA,NA
123,"RT @cliodiaspora: It’s now all just coming in one, it seems — Brexit; indyref; SNP; EU; Professor-credential mocking; and either xenophobia…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LiberalMe88,20,TRUE,FALSE,NA,NA
124,im not grounded they just . are being so stupid about covid. they got exposed and then willingly went and hung out… https://t.co/TK7u33BsPZ,FALSE,0,idolishlust,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,1.05E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",idolishlust,0,FALSE,FALSE,NA,NA
125,RT @vermontgmg: And *another* GOP state elected official has died of Covid-19. Every single state and federal elected official who has been…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pksjones,389,TRUE,FALSE,NA,NA
126,RT @bIondiewasabi: LA has stopped transporting heart attack and stroke victims to hospitals because there are no beds due to covid overload…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ms_Taber,11196,TRUE,FALSE,NA,NA
127,RT @ProfJamesLogan: Just found out my aunt &amp; uncle have COVID &amp; are pretty ill. They’ve been so careful but someone at my uncles work came…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KevinEwert1,417,TRUE,FALSE,NA,NA
128,COVID-19 UPDATE &gt;&gt; UK Government will extend the gap between people receiving the first and second doses of vaccine… https://t.co/x40O2Xpw41,FALSE,0,PRECARMED,02/01/2021 22:22,TRUE,1.35E+18,1.35E+18,2270822696,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PRECARMED,0,FALSE,FALSE,NA,NA
129,"RT @B52Malmet: This just in: 87 year old Larry King, of talk show note, and multiple marriages, is in the hospital in LA with #covid.",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LRick1960,361,TRUE,FALSE,NA,NA
130,COVID-19 | Five Things to Know About the COVID-19 Vaccine Timeline: https://t.co/huxD8DHYPw,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://app.contentgorilla.co"" rel=""nofollow"">CG 2.0</a>",buyraspberryktn,0,FALSE,FALSE,NA,NA
131,"RT @Allen58B: <U+0001F539>In the GA election there is a lot at stake:

<U+0001F539>Affordable Healthcare
<U+0001F539>COVID Relief
<U+0001F539>Jobs
<U+0001F539>Higher Wages 
<U+0001F539>Climate Issues

<U+0001F539>Vot…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ColleenHenley,7,TRUE,FALSE,NA,NA
132,RT @sfsmartp: Today is my birthday and I’m still in COVID hell quarantine. I miss my family and friends. Can I get a Happy Birthday tweet f…,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Littletenunsa,1385,TRUE,FALSE,NA,NA
133,"RT @fact_covid: I’ve been asked many times about how many people there are in each vaccination priority group, and how quickly we might see…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",SueHincks,157,TRUE,FALSE,NA,NA
134,While your gallivanting and ice skating with others...#COVID-19 https://t.co/kNDIJYOnbf,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ItsMyrone,0,FALSE,FALSE,NA,NA
135,"RT @mygovindia: As the nation prepares for the 2nd dry run for COVID-19 vaccination today, here are some FAQs about the COVID-19 vaccinatio…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cpsingh48,92,TRUE,FALSE,NA,NA
136,COVID-19 | Five Things to Know About the COVID-19 Vaccine Timeline: https://t.co/qRnaM00R5f,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://app.contentgorilla.co"" rel=""nofollow"">CG 2.0</a>",healthvideoorg,0,FALSE,FALSE,NA,NA
137,"RT @NHSLouisaJordan: In case you didn’t know what we’ve been doing...over 12,000 patients seen for scans and outpatient appts, nearly 5,000…",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",karendozzle,592,TRUE,FALSE,NA,NA
138,RT @thedailybeast: Talk show legend Larry King is fighting COVID-19 in a Los Angeles hospital https://t.co/oZiFfVGuxs,FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PeterJGregory,435,TRUE,FALSE,NA,NA
139,"RT @kathygriffin: @MollyJongFast @JennaEllisEsq JENNA, YOU GOT COVID FROM A RUDY GIULIANI FART",FALSE,0,NA,02/01/2021 22:22,FALSE,NA,1.35E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Eva1Mary,180,TRUE,FALSE,NA,NA
